dut_data:154, torch_data:155, c:3, w:1, h:5, i+1:12820, err:-1.0 
dut_data:161, torch_data:162, c:5, w:3, h:5, i+1:12854, err:-1.0 
dut_data:155, torch_data:156, c:14, w:6, h:5, i+1:12911, err:-1.0 
dut_data:162, torch_data:163, c:7, w:9, h:5, i+1:12952, err:-1.0 
dut_data:179, torch_data:180, c:7, w:11, h:5, i+1:12984, err:-1.0 
dut_data:186, torch_data:187, c:6, w:13, h:5, i+1:13015, err:-1.0 
dut_data:152, torch_data:153, c:7, w:14, h:5, i+1:13032, err:-1.0 
dut_data:171, torch_data:172, c:12, w:19, h:5, i+1:13117, err:-1.0 
dut_data:183, torch_data:184, c:6, w:21, h:5, i+1:13143, err:-1.0 
dut_data:163, torch_data:164, c:2, w:28, h:5, i+1:13251, err:-1.0 
dut_data:153, torch_data:154, c:3, w:31, h:5, i+1:13300, err:-1.0 
dut_data:156, torch_data:157, c:15, w:31, h:5, i+1:13312, err:-1.0 
dut_data:153, torch_data:154, c:15, w:32, h:5, i+1:13328, err:-1.0 
dut_data:163, torch_data:164, c:0, w:41, h:5, i+1:13457, err:-1.0 
dut_data:172, torch_data:173, c:14, w:44, h:5, i+1:13519, err:-1.0 
dut_data:157, torch_data:158, c:15, w:48, h:5, i+1:13584, err:-1.0 
dut_data:169, torch_data:170, c:13, w:56, h:5, i+1:13710, err:-1.0 
dut_data:189, torch_data:190, c:6, w:61, h:5, i+1:13783, err:-1.0 
dut_data:190, torch_data:191, c:10, w:64, h:5, i+1:13835, err:-1.0 
dut_data:153, torch_data:154, c:13, w:66, h:5, i+1:13870, err:-1.0 
dut_data:160, torch_data:161, c:1, w:70, h:5, i+1:13922, err:-1.0 
dut_data:168, torch_data:169, c:1, w:71, h:5, i+1:13938, err:-1.0 
dut_data:161, torch_data:162, c:12, w:71, h:5, i+1:13949, err:-1.0 
dut_data:164, torch_data:165, c:3, w:81, h:5, i+1:14100, err:-1.0 
dut_data:166, torch_data:167, c:5, w:81, h:5, i+1:14102, err:-1.0 
dut_data:153, torch_data:154, c:13, w:82, h:5, i+1:14126, err:-1.0 
dut_data:172, torch_data:173, c:5, w:83, h:5, i+1:14134, err:-1.0 
dut_data:160, torch_data:161, c:1, w:84, h:5, i+1:14146, err:-1.0 
dut_data:174, torch_data:175, c:13, w:84, h:5, i+1:14158, err:-1.0 
dut_data:184, torch_data:185, c:6, w:85, h:5, i+1:14167, err:-1.0 
dut_data:156, torch_data:157, c:13, w:86, h:5, i+1:14190, err:-1.0 
dut_data:161, torch_data:162, c:14, w:86, h:5, i+1:14191, err:-1.0 
dut_data:159, torch_data:160, c:13, w:88, h:5, i+1:14222, err:-1.0 
dut_data:163, torch_data:164, c:2, w:89, h:5, i+1:14227, err:-1.0 
dut_data:184, torch_data:185, c:13, w:100, h:5, i+1:14414, err:-1.0 
dut_data:194, torch_data:195, c:2, w:102, h:5, i+1:14435, err:-1.0 
dut_data:160, torch_data:161, c:15, w:102, h:5, i+1:14448, err:-1.0 
dut_data:157, torch_data:158, c:12, w:107, h:5, i+1:14525, err:-1.0 
dut_data:156, torch_data:157, c:9, w:108, h:5, i+1:14538, err:-1.0 
dut_data:160, torch_data:161, c:15, w:113, h:5, i+1:14624, err:-1.0 
dut_data:161, torch_data:162, c:9, w:117, h:5, i+1:14682, err:-1.0 
dut_data:152, torch_data:153, c:7, w:119, h:5, i+1:14712, err:-1.0 
dut_data:171, torch_data:172, c:11, w:120, h:5, i+1:14732, err:-1.0 
dut_data:172, torch_data:173, c:14, w:121, h:5, i+1:14751, err:-1.0 
dut_data:154, torch_data:155, c:4, w:124, h:5, i+1:14789, err:-1.0 
dut_data:169, torch_data:170, c:5, w:131, h:5, i+1:14902, err:-1.0 
dut_data:153, torch_data:154, c:14, w:137, h:5, i+1:15007, err:-1.0 
dut_data:171, torch_data:172, c:5, w:147, h:5, i+1:15158, err:-1.0 
dut_data:195, torch_data:196, c:6, w:149, h:5, i+1:15191, err:-1.0 
dut_data:152, torch_data:153, c:13, w:152, h:5, i+1:15246, err:-1.0 
dut_data:152, torch_data:153, c:12, w:153, h:5, i+1:15261, err:-1.0 
