dut_data:94, torch_data:93, c:14, w:23, h:21, i+1:54143, err:1.0 
dut_data:85, torch_data:84, c:2, w:25, h:21, i+1:54163, err:1.0 
dut_data:82, torch_data:81, c:12, w:31, h:21, i+1:54269, err:1.0 
dut_data:100, torch_data:99, c:14, w:55, h:21, i+1:54655, err:1.0 
dut_data:82, torch_data:81, c:8, w:56, h:21, i+1:54665, err:1.0 
dut_data:86, torch_data:85, c:11, w:61, h:21, i+1:54748, err:1.0 
dut_data:83, torch_data:82, c:0, w:62, h:21, i+1:54753, err:1.0 
dut_data:82, torch_data:81, c:2, w:76, h:21, i+1:54979, err:1.0 
dut_data:79, torch_data:78, c:6, w:83, h:21, i+1:55095, err:1.0 
dut_data:77, torch_data:76, c:8, w:86, h:21, i+1:55145, err:1.0 
dut_data:95, torch_data:94, c:12, w:87, h:21, i+1:55165, err:1.0 
dut_data:87, torch_data:86, c:8, w:93, h:21, i+1:55257, err:1.0 
dut_data:86, torch_data:85, c:12, w:103, h:21, i+1:55421, err:1.0 
dut_data:84, torch_data:83, c:11, w:125, h:21, i+1:55772, err:1.0 
dut_data:87, torch_data:88, c:13, w:132, h:21, i+1:55886, err:-1.0 
dut_data:82, torch_data:81, c:14, w:135, h:21, i+1:55935, err:1.0 
dut_data:94, torch_data:93, c:14, w:7, h:22, i+1:56447, err:1.0 
dut_data:97, torch_data:96, c:10, w:9, h:22, i+1:56475, err:1.0 
dut_data:108, torch_data:107, c:3, w:32, h:22, i+1:56836, err:1.0 
dut_data:85, torch_data:84, c:6, w:37, h:22, i+1:56919, err:1.0 
dut_data:78, torch_data:77, c:14, w:39, h:22, i+1:56959, err:1.0 
dut_data:123, torch_data:122, c:9, w:42, h:22, i+1:57002, err:1.0 
dut_data:94, torch_data:93, c:0, w:44, h:22, i+1:57025, err:1.0 
dut_data:90, torch_data:89, c:8, w:45, h:22, i+1:57049, err:1.0 
dut_data:79, torch_data:78, c:13, w:51, h:22, i+1:57150, err:1.0 
dut_data:78, torch_data:77, c:13, w:54, h:22, i+1:57198, err:1.0 
dut_data:77, torch_data:76, c:0, w:65, h:22, i+1:57361, err:1.0 
dut_data:92, torch_data:91, c:6, w:71, h:22, i+1:57463, err:1.0 
dut_data:85, torch_data:84, c:0, w:73, h:22, i+1:57489, err:1.0 
dut_data:92, torch_data:91, c:8, w:77, h:22, i+1:57561, err:1.0 
dut_data:85, torch_data:84, c:6, w:81, h:22, i+1:57623, err:1.0 
dut_data:86, torch_data:85, c:14, w:91, h:22, i+1:57791, err:1.0 
dut_data:79, torch_data:78, c:0, w:92, h:22, i+1:57793, err:1.0 
dut_data:81, torch_data:80, c:9, w:107, h:22, i+1:58042, err:1.0 
dut_data:105, torch_data:104, c:12, w:110, h:22, i+1:58093, err:1.0 
dut_data:79, torch_data:78, c:0, w:128, h:22, i+1:58369, err:1.0 
dut_data:85, torch_data:84, c:0, w:137, h:22, i+1:58513, err:1.0 
dut_data:100, torch_data:99, c:10, w:137, h:22, i+1:58523, err:1.0 
dut_data:82, torch_data:81, c:3, w:146, h:22, i+1:58660, err:1.0 
dut_data:92, torch_data:91, c:10, w:153, h:22, i+1:58779, err:1.0 
dut_data:81, torch_data:80, c:2, w:157, h:22, i+1:58835, err:1.0 
dut_data:84, torch_data:83, c:3, w:0, h:23, i+1:58884, err:1.0 
dut_data:87, torch_data:86, c:14, w:1, h:23, i+1:58911, err:1.0 
dut_data:99, torch_data:98, c:10, w:9, h:23, i+1:59035, err:1.0 
dut_data:85, torch_data:84, c:4, w:12, h:23, i+1:59077, err:1.0 
dut_data:83, torch_data:82, c:11, w:14, h:23, i+1:59116, err:1.0 
dut_data:88, torch_data:87, c:0, w:28, h:23, i+1:59329, err:1.0 
dut_data:78, torch_data:77, c:1, w:34, h:23, i+1:59426, err:1.0 
dut_data:79, torch_data:78, c:8, w:42, h:23, i+1:59561, err:1.0 
dut_data:77, torch_data:76, c:10, w:69, h:23, i+1:59995, err:1.0 
dut_data:82, torch_data:81, c:0, w:78, h:23, i+1:60129, err:1.0 
dut_data:85, torch_data:84, c:2, w:82, h:23, i+1:60195, err:1.0 
dut_data:86, torch_data:85, c:11, w:119, h:23, i+1:60796, err:1.0 
dut_data:78, torch_data:77, c:10, w:135, h:23, i+1:61051, err:1.0 
dut_data:96, torch_data:95, c:2, w:157, h:23, i+1:61395, err:1.0 
dut_data:80, torch_data:79, c:4, w:12, h:24, i+1:61637, err:1.0 
